A1: 6.17,-3.23,6.61,882300
A2: -1.18,4.38,-8.39,883580
A3: 9.61,-0.86,0.77,884848
A0: -1.65,-2.27,8.44,886104
A1: 6.09,-3.27,6.64,887372
A2: -1.11,4.29,-8.36,888648
A3: 9.88,-0.34,0.25,889904
A0: -2.50,-2.83,8.64,891160
A1: 6.09,-3.23,6.79,892444
A2: -1.02,4.20,-8.46,893728
A3: 9.93,-0.33,-0.31,894980
A0: -2.32,-2.67,9.17,896240
A1: 6.00,-3.34,6.84,901360
A2: -1.08,4.41,-8.41,902632
A3: 9.70,-0.79,0.17,903900
A0: -2.83,-2.58,9.75,905160
A1: 6.04,-3.28,6.73,906448
A2: -1.04,4.34,-8.41,907720
A3: 9.76,-0.74,-0.08,908988
A0: -3.16,-2.61,9.10,910248
A1: 6.12,-3.30,6.60,911528
A2: -1.05,4.17,-8.48,912804
A3: 9.71,-0.81,0.06,914068
A0: -2.11,-2.36,8.33,915328
A1: 6.23,-3.07,6.68,916596
A2: -1.07,4.31,-8.38,917872
A3: 9.74,-0.63,0.10,919136
A0: -2.09,-2.31,8.53,920392
A1: 6.11,-3.26,6.65,921660
A2: -1.01,4.18,-8.54,922928
A3: 9.76,-0.53,-0.02,924192
A0: -1.80,-2.83,8.80,929288
A1: 6.08,-3.31,6.66,930564
A2: -1.03,4.19,-8.40,931832
A3: 9.79,-0.53,0.13,933100
A0: -1.50,-2.94,9.15,934360
A1: 6.09,-3.26,6.72,935632
A2: -1.07,4.38,-8.43,936908
A3: 9.80,-0.54,0.08,938168
A0: -1.58,-3.31,9.37,939428
A1: 6.07,-3.27,6.72,940700
A2: -1.10,4.34,-8.42,941980
A3: 9.84,-0.57,0.04,943240
A0: -1.36,-3.03,9.20,944500
A1: 6.06,-3.34,6.72,945760
A2: -1.09,4.34,-8.46,947040
A3: 9.75,-0.63,0.09,948300
A0: -1.56,-3.31,9.35,949552
A1: 6.05,-3.27,6.75,950820
A2: -1.00,4.17,-8.46,955920
A3: 9.77,-0.67,0.01,957200
A0: -1.69,-2.94,9.20,958464
A1: 5.97,-3.45,6.77,959736
A2: -1.02,4.27,-8.38,961020
A3: 9.75,-0.61,0.02,962292
A0: -1.85,-2.79,8.97,963544
A1: 6.07,-3.24,6.76,964816
A2: -0.97,4.40,-8.45,966092
A3: 9.78,-0.59,0.07,967372
A0: -1.84,-2.83,9.05,968632
A1: 6.12,-3.22,6.57,969904
A2: -1.08,4.23,-8.48,971176
A3: 9.78,-0.59,0.07,972444
A0: -1.81,-2.95,9.01,973704
A1: 6.11,-3.24,6.62,974964
A2: -1.00,4.23,-8.40,976236
A3: 9.82,-0.52,0.02,977512
A0: -1.79,-3.04,9.08,978764
A1: 6.11,-3.31,6.58,983864
A2: -0.97,4.18,-8.41,985132
A3: 9.77,-0.62,0.04,986392
A0: -1.66,-2.95,9.24,987648
A1: 6.14,-3.28,6.50,988928
A2: -1.05,4.31,-8.49,990196
A3: 9.75,-0.61,0.11,991452
A0: -1.61,-2.94,9.15,992708
A1: 6.16,-3.23,6.54,993984
A2: -1.00,4.23,-8.47,995256
A3: 9.75,-0.67,0.04,996524
A0: -1.56,-2.72,9.05,997784
A1: 6.23,-3.17,6.53,999052
A2: -0.97,4.19,-8.44,1000328
A3: 9.75,-0.61,0.12,1001636
A0: -1.74,-3.15,9.26,1002916
A1: 6.15,-3.26,6.40,1004216
A2: -1.14,4.50,-8.49,1005568
A3: 9.78,-0.58,0.05,1010696
A0: -2.50,-2.88,9.43,1011980
A1: 6.18,-3.22,6.47,1013292
A2: -0.97,4.26,-8.38,1014596
A3: 9.75,-0.65,0.07,1015892
A0: -1.18,-2.31,8.59,1017172
A1: 6.07,-3.26,6.77,1026600
A2: -0.94,4.23,-8.33,1035740
A3: 9.66,-0.68,0.06,1045164
A0: -2.13,-3.04,8.91,1054260
A1: 5.85,-3.40,6.90,1055560
A2: -0.98,4.24,-8.55,1056864
A3: 9.74,-0.73,0.02,1058156
A0: -1.89,-3.13,8.87,1059440
A1: 5.83,-3.27,6.99,1060740
A2: -0.94,4.18,-8.55,1062040
A3: 9.79,-0.61,0.03,1063336
A0: -2.52,-3.25,9.19,1064624
A1: 5.91,-3.32,6.94,1069772
A2: -0.78,4.19,-8.51,1071076
A3: 9.78,-0.62,0.10,1072368
A0: -1.69,-3.08,8.75,1073652
A1: 5.88,-3.31,6.85,1074956
A2: -0.82,4.32,-8.39,1076256
A3: 9.78,-0.59,0.04,1077544
A0: -3.17,-3.23,9.54,1078832
A1: 5.95,-3.23,6.91,1080136
A2: -0.95,4.12,-8.71,1081436
A3: 9.79,-0.57,0.05,1082724
A0: -2.15,-2.83,8.62,1084008
A1: 5.90,-3.25,6.97,1085316
A2: -0.97,4.26,-8.46,1086620
A3: 9.73,-0.69,0.11,1087916
A0: -2.11,-2.77,8.72,1089204
A1: 5.87,-3.32,6.84,1090508
A2: -0.95,4.25,-8.45,1091808
A3: 9.75,-0.58,0.06,1096816
A0: -1.90,-2.88,9.01,1098100
A1: 6.00,-3.24,6.78,1099400
A2: -0.94,4.26,-8.45,1100700
A3: 9.74,-0.59,0.11,1101996
A0: -1.71,-3.05,9.13,1103280
A1: 5.98,-3.28,6.79,1104576
A2: -0.93,4.28,-8.46,1105888
A3: 9.74,-0.59,0.09,1107180
A0: -1.70,-3.06,9.16,1108468
A1: 6.00,-3.28,6.75,1109772
A2: -0.98,4.28,-8.43,1111076
A3: 9.79,-0.58,0.08,1112364
A0: -1.64,-2.98,9.21,1113652
A1: 5.99,-3.27,6.81,1114952
A2: -0.96,4.25,-8.49,1116252
A3: 9.75,-0.55,0.09,1117548
A0: -1.65,-2.92,8.89,1118832
A1: 5.97,-3.30,6.82,1123812
A2: -0.94,4.23,-8.49,1125124
A3: 9.75,-0.59,0.06,1126408
A0: -1.79,-3.06,9.04,1127692
A1: 5.99,-3.25,6.75,1128984
A2: -0.97,4.27,-8.42,1130300
A3: 9.76,-0.61,0.07,1131584
A0: -1.58,-3.01,8.91,1132860
A1: 5.96,-3.27,6.74,1134152
A2: -0.94,4.22,-8.53,1135456
A3: 9.76,-0.63,0.07,1136740
A0: -1.79,-2.99,8.98,1138024
A1: 5.94,-3.28,6.80,1139328
A2: -0.97,4.23,-8.49,1140640
A3: 9.75,-0.62,0.09,1141932
A0: -1.84,-2.92,8.99,1143212
A1: 5.95,-3.25,6.76,1144520
A2: -0.93,4.25,-8.47,1145828
A3: 9.75,-0.58,0.07,1150948
A0: -1.78,-2.95,8.97,1152228
A1: 5.98,-3.25,6.90,1153532
A2: -0.91,4.26,-8.45,1154844
A3: 9.75,-0.61,0.04,1156128
A0: -1.75,-3.03,9.03,1157400
A1: 5.96,-3.24,6.86,1158692
A2: -0.94,4.23,-8.43,1160004
A3: 9.79,-0.59,0.06,1161288
A0: -1.69,-3.00,9.12,1162572
A1: 5.96,-3.25,6.83,1163876
A2: -0.97,4.20,-8.49,1165188
A3: 9.76,-0.61,0.06,1166476
A0: -1.70,-3.07,9.12,1167756
A1: 5.98,-3.21,6.84,1169044
A2: -0.94,4.23,-8.49,1170352
A3: 9.75,-0.59,0.05,1171636
A0: -1.74,-3.00,9.14,1172920
A1: 6.00,-3.26,6.70,1178064
A2: -0.94,4.25,-8.47,1179364
A3: 9.73,-0.61,-0.01,1180652
A0: -1.79,-2.94,8.99,1181940
A1: 5.99,-3.28,6.74,1183244
A2: -0.96,4.23,-8.50,1184560
A3: 9.78,-0.62,0.00,1185812
A0: -1.87,-2.93,9.03,1187056
A1: 5.93,-3.30,6.80,1188348
A2: -0.94,4.30,-8.49,1189660
A3: 9.75,-0.64,0.02,1190952
A0: -1.78,-2.88,9.08,1192228
A1: 5.92,-3.23,6.88,1193528
A2: -0.92,4.23,-8.53,1194832
A3: 9.76,-0.59,0.06,1196116
A0: -1.71,-3.03,8.99,1197404
A1: 5.95,-3.27,6.80,1198696
A2: -0.97,4.24,-8.47,1200008
A3: 9.73,-0.62,0.09,1205132
A0: -1.70,-3.05,9.03,1206404
A1: 5.96,-3.27,6.81,1207696
A2: -0.98,4.27,-8.45,1209008
A3: 9.79,-0.60,0.04,1210308
A0: -1.68,-3.04,9.13,1211584
A1: 5.91,-3.30,6.85,1212876
A2: -0.93,4.19,-8.48,1214180
A3: 9.79,-0.57,0.06,1215468
A0: -1.76,-3.03,9.10,1216756
A1: 5.91,-3.28,6.83,1218052
A2: -0.58,4.10,-8.43,1219360
A3: 9.75,-0.59,0.08,1220644
A0: -1.72,-3.00,9.09,1221932
A1: 5.93,-3.27,6.85,1223232
A2: -0.65,4.27,-8.36,1224544
A3: 9.76,-0.61,0.07,1225828
A0: -1.77,-2.92,9.09,1227108
A1: 5.97,-3.25,6.77,1232240
A2: -0.75,4.19,-8.46,1233548
A3: 9.74,-0.62,0.10,1234844
A0: -1.83,-2.91,9.06,1236120
A1: 5.96,-3.29,6.70,1237416
A2: -1.35,4.44,-8.55,1238724
